Episode,Reward
1,22.49
2,24.04
3,23.06
4,24.8
5,26.62
6,28.72
7,28.85
8,28.02
9,28.72
10,28.65
11,28.2
12,28.24
13,30.18
14,30.69
15,29.85
16,29.52
17,31.6
18,34.29
19,33.28
20,34.13
21,34.47
22,36.35
23,37.54
24,38.22
25,37.87
26,40.43
27,43.43
28,46.1
29,45.2
30,44.76
31,44.55
32,45.25
33,45.99
34,47.58
35,49.82
36,49.82
37,51.29
38,53.33
39,52.83
40,51.96
41,53.77
42,52.66
43,52.56
44,54.26
45,55.5
46,56.71
47,58.14
48,59.32
49,59.91
50,58.58
51,59.36
52,60.0
53,60.38
54,62.14
55,60.94
56,60.16
57,62.81
58,65.31
59,65.31
60,66.82
61,69.66
62,68.71
63,68.92
64,71.62
65,71.87
66,71.51
67,71.21
68,71.93
69,73.62
70,76.18
71,76.64
72,76.69
73,75.4
74,76.41
75,75.79
76,76.13
77,76.47
78,76.92
79,79.04
80,80.46
81,81.67
82,82.84
83,84.5
84,83.86
85,84.48
86,83.62
87,83.4
88,83.13
89,83.78
90,83.74
91,82.84
92,85.75
93,86.93
94,88.41
95,88.27
96,90.18
97,92.08
98,92.12
99,94.85
100,97.32
101,96.69
102,98.7
103,97.72
104,98.71
105,97.56
106,99.24
107,99.19
108,99.26
109,100.87
110,103.31
111,104.64
112,104.43
113,103.95
114,104.99
115,106.87
116,108.12
117,109.04
118,110.38
119,109.04
120,108.79
121,112.03
122,112.9
123,114.83
124,117.46
125,120.32
126,120.44
127,121.02
128,121.67
129,123.87
130,123.2
131,126.16
132,126.61
133,128.91
134,130.83
135,130.67
136,133.17
137,136.15
138,137.02
139,138.85
140,141.15
141,141.86
142,140.92
143,140.02
144,140.99
145,141.93
146,140.32
147,141.03
148,141.48
149,141.55
150,140.9
151,141.29
152,142.74
153,145.79
154,145.95
155,146.27
156,145.36
157,147.44
158,149.51
159,148.93
160,148.34
161,150.11
162,150.29
163,152.68
164,154.05
165,153.79
166,155.48
167,154.16
168,152.59
169,154.71
170,153.92
171,154.65
172,154.81
173,156.0
174,155.2
175,156.39
176,158.67
177,158.38
178,159.24
179,159.82
180,161.54
181,162.82
182,163.8
183,164.77
184,167.84
185,166.57
186,164.98
187,166.03
188,165.6
189,164.99
190,165.38
191,166.52
192,169.04
193,171.41
194,170.69
195,173.09
196,174.23
197,176.02
198,178.39
199,179.42
200,181.61
