Current_State,Action,Reward,Next_State
High Demand,Keep Price,31,Low Demand
Low Demand,Keep Price,92,Low Demand
High Demand,Keep Price,41,High Demand
High Demand,Increase Price,92,High Demand
Low Demand,Keep Price,37,High Demand
Low Demand,Keep Price,31,Medium Demand
High Demand,Increase Price,-9,Low Demand
Medium Demand,Keep Price,18,High Demand
High Demand,Increase Price,-19,Low Demand
High Demand,Decrease Price,-18,Medium Demand
High Demand,Keep Price,92,Medium Demand
High Demand,Decrease Price,80,High Demand
Low Demand,Increase Price,92,Medium Demand
High Demand,Keep Price,35,Low Demand
Medium Demand,Increase Price,60,High Demand
Low Demand,Decrease Price,38,Low Demand
Medium Demand,Increase Price,92,Low Demand
Medium Demand,Keep Price,-19,Medium Demand
Medium Demand,Keep Price,-19,Medium Demand
Medium Demand,Decrease Price,71,Medium Demand
Low Demand,Increase Price,33,Medium Demand
Low Demand,Keep Price,66,Medium Demand
Medium Demand,Decrease Price,80,High Demand
Medium Demand,Keep Price,75,Low Demand
Low Demand,Keep Price,76,Low Demand
Low Demand,Increase Price,-20,Low Demand
Low Demand,Keep Price,-2,Low Demand
High Demand,Increase Price,-19,Medium Demand
High Demand,Keep Price,32,Low Demand
High Demand,Decrease Price,23,High Demand
Medium Demand,Keep Price,69,High Demand
High Demand,Increase Price,11,Low Demand
Medium Demand,Increase Price,49,Low Demand
Medium Demand,Decrease Price,11,High Demand
High Demand,Keep Price,98,High Demand
Medium Demand,Keep Price,47,Medium Demand
High Demand,Decrease Price,34,High Demand
High Demand,Keep Price,54,Medium Demand
Low Demand,Keep Price,35,Medium Demand
High Demand,Increase Price,-4,Medium Demand
Low Demand,Keep Price,17,Medium Demand
High Demand,Keep Price,3,Medium Demand
High Demand,Decrease Price,48,Low Demand
Low Demand,Decrease Price,95,High Demand
Low Demand,Increase Price,77,Medium Demand
High Demand,Keep Price,49,High Demand
Medium Demand,Keep Price,65,High Demand
Low Demand,Keep Price,-10,Medium Demand
Medium Demand,Increase Price,91,Low Demand
Medium Demand,Increase Price,-5,Medium Demand
Medium Demand,Decrease Price,76,Low Demand
Low Demand,Increase Price,52,High Demand
Medium Demand,Keep Price,38,Low Demand
Low Demand,Keep Price,49,Low Demand
Medium Demand,Increase Price,59,Low Demand
High Demand,Keep Price,72,High Demand
High Demand,Keep Price,-18,High Demand
Low Demand,Increase Price,-1,Low Demand
High Demand,Increase Price,38,Low Demand
High Demand,Keep Price,15,Medium Demand
Medium Demand,Keep Price,-2,Low Demand
Low Demand,Keep Price,69,Medium Demand
Medium Demand,Decrease Price,46,Low Demand
Medium Demand,Decrease Price,-2,Medium Demand
Medium Demand,Decrease Price,-1,High Demand
Medium Demand,Increase Price,75,Low Demand
Medium Demand,Decrease Price,50,Low Demand
Medium Demand,Increase Price,31,Low Demand
Medium Demand,Increase Price,84,Low Demand
Low Demand,Decrease Price,12,Medium Demand
High Demand,Decrease Price,19,Low Demand
Medium Demand,Decrease Price,18,High Demand
Medium Demand,Keep Price,61,High Demand
Medium Demand,Decrease Price,83,Low Demand
Medium Demand,Keep Price,-20,High Demand
Medium Demand,Increase Price,-10,Low Demand
Medium Demand,Keep Price,71,Low Demand
High Demand,Decrease Price,36,High Demand
High Demand,Increase Price,68,Low Demand
Medium Demand,Increase Price,29,High Demand
High Demand,Increase Price,2,Medium Demand
Low Demand,Keep Price,10,Low Demand
Medium Demand,Decrease Price,73,Medium Demand
Low Demand,Increase Price,21,High Demand
Low Demand,Increase Price,78,Medium Demand
Medium Demand,Increase Price,-14,Medium Demand
High Demand,Keep Price,-5,High Demand
Low Demand,Keep Price,69,Medium Demand
Medium Demand,Decrease Price,91,Medium Demand
Low Demand,Keep Price,95,High Demand
Low Demand,Increase Price,39,Medium Demand
Low Demand,Decrease Price,92,High Demand
Low Demand,Increase Price,-19,Medium Demand
High Demand,Increase Price,-20,High Demand
Low Demand,Keep Price,27,High Demand
Low Demand,Decrease Price,-9,Medium Demand
Low Demand,Keep Price,48,Medium Demand
High Demand,Keep Price,16,Medium Demand
Low Demand,Decrease Price,11,Low Demand
Low Demand,Increase Price,98,Low Demand
