Booking_ID,Hotel_Type,Season,Rooms_Available,Base_Price,Demand_Level,Booking_Probability,Dynamic_Price,Revenue
1,City Hotel,Off-Peak,37,229,Low,0.6,234.1,140.46
2,Resort Hotel,Holiday,90,192,Low,0.76,188.46,143.23
3,City Hotel,Peak,123,260,High,0.63,223.94,141.08
4,City Hotel,Peak,49,184,Low,0.63,158.78,100.03
5,City Hotel,Peak,54,292,Low,0.54,273.1,147.47
6,Resort Hotel,Peak,71,77,Low,0.45,64.33,28.95
7,City Hotel,Peak,102,100,Low,0.59,123.85,73.07
8,City Hotel,Peak,124,284,Low,0.29,284.32,82.45
9,City Hotel,Peak,195,235,Low,0.97,234.02,227.0
10,Resort Hotel,Off-Peak,76,54,Medium,0.77,55.75,42.93
11,City Hotel,Holiday,65,54,High,0.96,68.25,65.52
12,City Hotel,Peak,49,143,Medium,0.38,201.55,76.59
13,City Hotel,Off-Peak,107,295,Low,0.9,392.75,353.48
14,City Hotel,Off-Peak,49,145,Low,0.85,189.84,161.36
15,Resort Hotel,Holiday,100,57,High,0.74,64.93,48.05
16,City Hotel,Peak,42,113,Medium,0.7,145.28,101.7
17,Resort Hotel,Holiday,15,187,High,0.45,221.96,99.88
18,Resort Hotel,Peak,156,87,Medium,0.85,82.77,70.35
19,Resort Hotel,Off-Peak,89,160,Low,0.6,151.36,90.82
20,City Hotel,Off-Peak,177,273,High,0.26,275.04,71.51
21,Resort Hotel,Off-Peak,101,161,High,0.45,231.45,104.15
22,City Hotel,Off-Peak,106,269,Low,0.95,318.28,302.37
23,Resort Hotel,Holiday,68,130,High,0.88,170.79,150.3
24,Resort Hotel,Peak,68,272,Medium,0.99,283.58,280.74
25,Resort Hotel,Peak,57,185,Medium,0.7,200.8,140.56
26,Resort Hotel,Holiday,178,153,Medium,0.4,135.85,54.34
27,Resort Hotel,Peak,22,202,Medium,0.33,185.82,61.32
28,Resort Hotel,Off-Peak,116,122,Low,0.35,168.26,58.89
29,Resort Hotel,Peak,54,243,High,0.22,293.88,64.65
30,Resort Hotel,Off-Peak,98,256,Medium,0.51,265.29,135.3
31,City Hotel,Holiday,190,227,Low,0.35,309.17,108.21
32,City Hotel,Peak,179,244,High,0.53,237.31,125.77
33,Resort Hotel,Holiday,109,98,High,0.95,145.36,138.09
34,Resort Hotel,Peak,164,85,Low,0.54,88.52,47.8
35,Resort Hotel,Off-Peak,175,175,Low,0.9,181.32,163.19
36,City Hotel,Holiday,197,117,Medium,0.68,119.15,81.02
37,Resort Hotel,Peak,16,127,High,0.4,112.46,44.98
38,City Hotel,Off-Peak,142,154,High,0.48,135.18,64.89
39,City Hotel,Holiday,54,218,Low,0.27,273.3,73.79
40,City Hotel,Holiday,67,266,High,0.47,375.75,176.6
41,City Hotel,Peak,40,171,Medium,0.74,231.43,171.26
42,City Hotel,Peak,32,168,High,0.26,150.99,39.26
43,Resort Hotel,Peak,179,239,Low,0.36,282.48,101.69
44,Resort Hotel,Off-Peak,147,163,Low,0.51,142.45,72.65
45,Resort Hotel,Peak,169,59,Medium,0.99,49.07,48.58
46,Resort Hotel,Holiday,116,198,Medium,0.83,249.38,206.99
47,Resort Hotel,Holiday,190,213,High,0.79,250.19,197.65
48,City Hotel,Peak,167,189,High,0.29,162.05,46.99
49,Resort Hotel,Peak,48,140,Low,0.82,115.42,94.64
50,Resort Hotel,Holiday,168,281,Medium,0.83,419.49,348.18
51,City Hotel,Off-Peak,91,51,Medium,0.68,41.87,28.47
52,Resort Hotel,Peak,109,167,Medium,0.99,185.57,183.71
53,City Hotel,Peak,11,62,High,0.46,71.5,32.89
54,Resort Hotel,Holiday,86,230,Medium,0.95,202.88,192.74
55,City Hotel,Peak,21,209,Low,0.93,191.93,178.49
56,Resort Hotel,Off-Peak,48,144,Low,0.21,150.66,31.64
57,Resort Hotel,Holiday,22,193,High,0.56,257.3,144.09
58,City Hotel,Peak,55,81,High,0.98,93.55,91.68
59,City Hotel,Holiday,164,81,Medium,0.28,100.97,28.27
60,City Hotel,Peak,122,173,High,0.64,257.7,164.93
61,City Hotel,Peak,26,275,Low,0.98,367.84,360.48
62,City Hotel,Peak,113,60,Medium,0.64,66.24,42.39
63,City Hotel,Off-Peak,107,59,Low,0.35,65.64,22.97
64,City Hotel,Off-Peak,197,64,Medium,0.67,78.92,52.88
65,City Hotel,Holiday,97,66,High,0.36,83.54,30.07
66,Resort Hotel,Peak,118,217,Medium,0.62,249.66,154.79
67,Resort Hotel,Peak,172,195,Medium,0.26,244.02,63.45
68,City Hotel,Off-Peak,79,232,Low,0.68,189.42,128.81
69,Resort Hotel,Peak,167,250,Low,0.61,275.18,167.86
70,Resort Hotel,Off-Peak,83,202,Medium,0.79,201.04,158.82
71,Resort Hotel,Peak,72,281,High,0.7,250.21,175.15
72,Resort Hotel,Holiday,165,108,High,0.64,93.93,60.12
73,City Hotel,Peak,69,127,Low,0.75,155.22,116.42
74,Resort Hotel,Peak,88,173,High,0.32,201.81,64.58
75,City Hotel,Off-Peak,46,299,Low,0.68,292.28,198.75
76,Resort Hotel,Peak,31,266,High,0.34,300.49,102.17
77,Resort Hotel,Peak,157,163,Medium,0.94,186.56,175.37
78,Resort Hotel,Off-Peak,105,71,Low,0.25,66.49,16.62
79,City Hotel,Holiday,77,293,Low,0.54,368.14,198.8
80,Resort Hotel,Holiday,26,207,Medium,0.76,278.76,211.86
